No,Test Condition,Test Execution,Expected result,Test Result (Pass/Fail),Defect # (if any),Remarks
12,"Access DuitNow Transfer ""Amount"" page
","1. Complete 7 or 8 or 9
2. Press Next","1. Shows the correct recipient you are transferring to - name and mobile number 
2. Grid to enter amount 
3. Delete number button
4. Proceed button",,,
13,10 Digit or X Limit,"1. Duitnow Transfer page
2. Enter number higher than 10 digits or X",1. Will not allow you to type any more numbers ,,,
14,Back button,"""Transfer amount"" page -> Back button

","Brought to ""Pay To"" page",,,
15,Proceed button doesn't work if no amount entered,"1. ""Transfer amount"" page
2. Enter rm 0 amount
3. ""Next""",Does not proceed to next page ,,,
16,"Proceed to ""Details page""","1. ""Transfer amount"" page
2. Enter valid amount
3. ""Next""","Brought to DuitNow ""Detail"" page
",,,
"""Details"" page",,,,,,
17,"Access Duitnow ""Details"" page","1. ""Transfer amount"" page
2. Enter valid amount
3. ""Next""","Details page - 
Shows the correct recipient you are transferring to - name and mobile number 
1. Recipient Reference prompt REQUIRED
2. Other Payment details prompt OPTIONAL 
3. Next button greyed out initially
",,,
19,Cannot continue if no Recipient Reference Entered,"1. ""Details"" page
2. No reference entered","""Continue"" button greyed out and not able to be clicked",,,
20,Continue with recipient reference,"1. ""Details"" page
2. Reference entered","""Continue"" button turns blue and able to be clicked",,,
21,Continue with recipient reference and other paymnet details,"1. ""Details"" page
2. Reference entered and other details entered","""Continue"" button turns blue and able to be clicked",,,
22,Back button,"""Details"" page -> Back button

","Brought to ""Transfer amount"" page",,,
23,"Proceed to ""Review""","1. ""Details"" page
2. Complete 20 or 21","Brought to DuitNow ""Review"" page
",,,
"""Review"" page",,,,,,
24,"Access Duitnow ""Review"" page","1. ""Details"" page
2. Complete 20 or 21","Review Page - 
1. Shows the correct recipient you are transferring to - name and mobile number 
2. Shows correct amount you entered
3. Shows correct Recipient Reference you entered
4. Shows correct other payment details (if entered)
5. Add to favourites switch 
6. Reminder button
Continue button",,,
25,Add to payee to favourites - favourite nickname invalid (same as another favourite),"""Review page"" 
1. Click on the favourite switch 
3. Enter Favourite Nickname which is same as a previous favourite","Popup ""You already have a favourite with this name. Please enter a different name""",,,
26,Add to payee to favourites - favourite nickname valid,"""Review page"" 
1. Click on the favourite switch 
3. Enter valid favourite nickname",*[1] ,,,
27,Back button,"""Review"" page -> Back button

","Brought to ""Details"" page",,,
28,"Proceed to ""Mobile Secured Approval"" page","1. ""Review page"" 
2. Press continue","Brought to ""Mobile Secured Approval Page""
",,,
"""Review"" page",,,,,,
29,"Access ""Mobile Secured Approval"" page","1. ""Review page"" 
2. Press continue","Mobile Secured Approval page: 
1. Shows correct account chosen from ""Pay From"" page with total balance
2. Shows the correct recipient name you are transferring to 
3. Prompts to checkmark correct recipient mobile number
4. Prompts to checkmark correct amount
5. Date and Time
6. Transfer type - DuitNow Transfer 
7. Swipe to transfer ",,,
30,Checkmark correct payee Mobile Number,"""MSA"" page 
Checkmark mobile number",Blue checkmark appears next to mobile number ,,,
31,Checkmark correct payee amount,"""MSA"" page 
Checkmark amount",Blue checkmark appears next to amount,,,
32,Attempt to Swipe to transfer - WITHOUT checkmark payee mobile number and WITHOUT checkmark amount,"""MSA page 
Do not checkmark mobile number 
Do not checkmark amount","Display ""Error - please verify the details""",,,
39,Attempt to Swipe to transfer - with checkmark payee mobile number but WITHOUT checkmark amount,"""MSA"" page 
Checkmark mobile number 
Do not checkmark amount","Display ""Error - please verify the details""",,,
40,Attempt to Swipe to transfer - with checkmark amount but WITHOUT checkmark payee mobile number ,"""MSA"" page 
Checkmark amount
Do not checkmark mobile number","Display ""Error - please verify the details""",,,
41,Back button,"""MSA"" page -> Back button

","Brought to ""Details"" page",,,
42,Complete Payment by Swipe to transfer ,"""MSA"" page 
Checkmark mobile number
Checkmark amount
Swipe to transfer","Brought to ""transfer successful"" page",,,
"""Transfer Successful"" page",,,,,,
43,"Access ""Transfer Successful"" page","""MSA"" page 
Checkmark mobile number
Checkmark amount
Swipe to transfer","Transfer sucessful page: 
1. Shows the correct recipient name, number and transaction amount 
2. Shows new balance of account you selected in ""Pay From page"" 
4. Shows Transfer type Duitnow Transfer
5. Shows reference ID
6. Shows correct recipient reference you entered 
7. Shows correct other payment details if entered  
8. Shows date and time 
9. Download receipt button 
10. Share receipt button ",,,
44,Download receipt ,"""Transfer sucessful"" page
Click Download receipt ",Download to files ,,,
45,Share receipt ,"""Transfer sucessful"" page
Click Share receipt ",Share screen popup,,,
46,Done,"""Transfer sucessful""
Click Done",Brought back to home screen [2],,,
Post - Transaction Checks,,,,,,
47,Check for recent list update in Duitnow Transfer (Following payment made from *[2]) (No favourite added),"1. Home page
2. DuitNow Transfer
3. Select account 
4. Look at recent list
",Most recent transaction should be the transaction you just made. Correct name and mobile number ,,,
48,Check for recent list update in Duitnow Transfer (Following payment made from *[2]) (Favourite added *[1]),"1. Home page
2. DuitNow Transfer
3. Select account 
4. Look at recent list
5. Look at favourite list 
","Most recent transaction should be the transaction you just made. Correct name and mobile number . 

Favourite list should be updated to show favourite that you added ",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Total Test Case:,41,,,,
,Total Performed:,0,,,,
,% Completion,0.00%,,,,
